t_no,date,day,time,cusno,product,price,quantity,amount,gender,age,region
1,2021-01-19,화,15,644,10,8265.44,14.0,115716.16,0,69,6
2018,2020-07-10,금,14,644,30,10548.3,15.5,163498.65,0,69,6
2375,2021-02-21,일,10,644,10,10861.13,12.5,135764.125,0,69,6
2444,2020-11-23,월,15,644,20,28909.04,8.0,231272.32,0,69,6
2446,2021-02-09,화,15,644,30,19394.18,4.0,77576.72,0,69,6
3710,2020-11-21,토,23,644,10,48178.88,91.0,4384278.08,0,69,6
3889,2021-03-21,일,1,644,10,7480.71,11.25,84157.9875,0,69,6
5056,2021-04-27,화,13,644,20,34044.21,10.0,340442.1,0,69,6
5768,2021-10-14,목,17,644,30,49784.38,65.0,3235984.6999999997,0,69,6
6133,2020-03-11,수,9,644,10,26201.28,28.0,733635.84,0,69,6
6741,2021-01-23,토,17,644,10,7026.99,16.0,112431.84,0,69,6
7070,2020-03-27,금,13,644,10,31485.61,28.5,897339.885,0,69,6
8315,2021-02-08,월,18,644,20,24322.57,45.5,1106676.935,0,69,6
8328,2020-05-20,수,19,644,20,25027.83,14.0,350389.62,0,69,6
8744,2020-02-16,일,22,644,20,30527.67,25.5,778455.585,0,69,6
8826,2021-08-19,목,13,644,20,24503.35,37.0,906623.95,0,69,6
9412,2020-07-21,화,10,644,30,32712.13,12.0,392545.56,0,69,6
2,2020-10-15,목,23,295,10,42477.12,7.8,331321.536,1,80,5
262,2021-09-29,수,21,295,10,32106.25,4.8,154110.0,1,80,5
573,2021-06-29,화,3,295,10,40280.5,45.6,1836790.8,1,80,5
726,2020-03-12,목,11,295,20,7311.97,12.6,92130.822,1,80,5
3279,2021-08-17,화,22,295,20,38024.66,1.7999999999999998,68444.388,1,80,5
3794,2021-12-16,목,8,295,30,11491.59,30.0,344747.7,1,80,5
3884,2020-04-12,일,22,295,30,22270.38,34.199999999999996,761646.9959999999,1,80,5
4930,2020-06-02,화,16,295,10,46828.86,116.39999999999999,5450879.304,1,80,5
7791,2021-12-08,수,10,295,10,18268.93,19.2,350763.456,1,80,5
3,2020-11-24,화,2,68,30,18660.41,46.5,867709.065,0,42,5
334,2021-03-15,월,20,68,30,20571.68,31.0,637722.08,0,42,5
638,2020-09-09,수,24,68,10,36800.58,19.0,699211.02,0,42,5
2550,2021-04-19,월,24,68,10,35876.75,47.0,1686207.25,0,42,5
3230,2021-05-14,금,19,68,10,8203.86,11.0,90242.46,0,42,5
4004,2021-12-06,월,3,68,10,27136.22,30.0,814086.6000000001,0,42,5
5621,2020-01-24,금,5,68,10,16821.81,32.0,538297.92,0,42,5
6161,2020-12-29,화,23,68,10,7527.52,19.0,143022.88,0,42,5
8531,2020-06-07,일,22,68,20,19355.8,99.0,1916224.2,0,42,5
8935,2020-03-26,목,7,68,10,36833.14,52.0,1915323.28,0,42,5
4,2021-12-31,금,22,974,20,11091.24,50.0,554562.0,0,23,7
1665,2021-05-06,목,1,974,30,3713.62,17.5,64988.35,0,23,7
1891,2021-06-11,금,24,974,20,30000.59,22.0,660012.98,0,23,7
3132,2021-03-02,화,7,974,20,18672.68,68.0,1269742.24,0,23,7
9526,2021-05-16,일,18,974,30,31610.95,67.0,2117933.65,0,23,7
9683,2020-09-27,일,3,974,20,6919.01,3.0,20757.03,0,23,7
5,2021-01-14,목,16,26,30,37547.05,73.2,2748444.0600000005,1,28,3
59,2020-03-25,수,22,26,20,2050.06,48.0,98402.88,1,28,3
3015,2020-07-13,월,4,26,20,16592.22,54.0,895979.8800000001,1,28,3
6051,2021-09-13,월,22,26,10,24107.2,73.2,1764647.04,1,28,3
6104,2020-02-16,일,23,26,30,20616.4,33.6,692711.04,1,28,3
6137,2020-10-09,금,1,26,10,19225.18,58.199999999999996,1118905.476,1,28,3
6252,2020-08-30,일,9,26,10,2454.72,106.8,262164.09599999996,1,28,3
6327,2020-02-25,화,22,26,20,26687.2,40.8,1088837.76,1,28,3
7615,2021-02-05,금,12,26,30,8488.94,99.6,845498.424,1,28,3
8575,2020-12-11,금,8,26,30,42391.74,45.6,1933063.344,1,28,3
9063,2021-02-10,수,16,26,30,38075.15,40.8,1553466.1199999999,1,28,3
