t_no,date,day,time,cusno,product,price,quantity,amount,gender,age,region,year
1,2021-01-19,화,15,644,10,62783.43591052502,144.807207108176,9091494.00685829,0,69,6,2021
2018,2020-07-10,금,14,644,30,53770.36697720448,160.9444933297421,8654044.469300471,0,69,6,2020
2375,2021-02-21,일,10,644,10,64926.410260306766,148.31651302852913,9629658.773268417,0,69,6,2021
2444,2020-11-23,월,15,644,20,77351.2596234966,178.9387696368076,13841139.226885756,0,69,6,2020
2446,2021-02-09,화,15,644,30,52409.28956712042,225.9564305138124,11842215.996351317,0,69,6,2021
3710,2020-11-21,토,23,644,10,52409.52260578373,140.80323053426218,7379430.093652791,0,69,6,2020
3889,2021-03-21,일,1,644,10,78148.73689206396,217.46118655691612,16994317.052472476,0,69,6,2021
5056,2021-04-27,화,13,644,20,66626.12253770341,140.3433373421438,9350532.39110792,0,69,6,2021
5768,2021-10-14,목,17,644,30,49069.07466449053,137.48985080407783,6746499.754714958,0,69,6,2021
6133,2020-03-11,수,9,644,10,63434.1858207587,209.5773568410745,13294368.997680174,0,69,6,2020
6741,2021-01-23,토,17,644,10,49155.04512893922,214.04833998737357,10521555.811853873,0,69,6,2021
7070,2020-03-27,금,13,644,10,49122.22706582106,210.997080446229,10364646.495904977,0,69,6,2020
8315,2021-02-08,월,18,644,20,59167.413582153145,117.23491164427703,6936486.503524122,0,69,6,2021
8328,2020-05-20,수,19,644,20,28575.27421301466,154.00271082308618,4400669.691317288,0,69,6,2020
8744,2020-02-16,일,22,644,20,31248.945097317737,209.76745794099213,6555011.776401971,0,69,6,2020
8826,2021-08-19,목,13,644,20,47751.657903299136,175.95890594069897,8402329.481519047,0,69,6,2021
9412,2020-07-21,화,10,644,30,41356.51108021579,127.70933572948452,5281612.558143424,0,69,6,2020
2,2020-10-15,목,23,295,10,60193.44877061428,193.99032826697064,11676946.886532549,1,80,5,2020
262,2021-09-29,수,21,295,10,42844.17276917087,143.23618002803696,6136835.643917277,1,80,5,2021
573,2021-06-29,화,3,295,10,35686.28103411418,251.80005195176912,8985807.418355383,1,80,5,2021
726,2020-03-12,목,11,295,20,76536.77577199275,240.99773724157225,18445189.77681584,1,80,5,2020
3279,2021-08-17,화,22,295,20,52528.19619624855,200.29733941714477,10521257.942490367,1,80,5,2021
3794,2021-12-16,목,8,295,30,56691.44568318536,233.04430093644757,13211618.32831452,1,80,5,2021
3884,2020-04-12,일,22,295,30,35509.64039488023,176.9647739047993,6283955.483920708,1,80,5,2020
4930,2020-06-02,화,16,295,10,48005.803911054376,207.2775643260318,9950526.108196445,1,80,5,2020
7791,2021-12-08,수,10,295,10,57307.39821030757,238.0938036535346,13644536.41737989,1,80,5,2021
3,2020-11-24,화,2,68,30,39395.39296427377,184.78290509336367,7279595.15923317,0,42,5,2020
334,2021-03-15,월,20,68,30,61065.69768397512,163.12120686988987,9961110.30456186,0,42,5,2021
638,2020-09-09,수,24,68,10,47207.29036990429,100.4127865384213,4740215.570970471,0,42,5,2020
2550,2021-04-19,월,24,68,10,51592.544741310136,170.56494455247775,8799879.533122791,0,42,5,2021
3230,2021-05-14,금,19,68,10,47192.131969902846,209.78626017556857,9900260.875677804,0,42,5,2021
4004,2021-12-06,월,3,68,10,82024.70619134116,215.07357034481947,17641346.41705656,0,42,5,2021
5621,2020-01-24,금,5,68,10,55541.3471625868,195.9825134939421,10885132.81976339,0,42,5,2020
6161,2020-12-29,화,23,68,10,40719.47401831983,150.74284606158605,6138169.403652339,0,42,5,2020
8531,2020-06-07,일,22,68,20,67408.37250947345,88.6363287334054,5974830.665133537,0,42,5,2020
8935,2020-03-26,목,7,68,10,38403.92071079447,152.7366264498841,5865685.291815583,0,42,5,2020
4,2021-12-31,금,22,974,20,58697.60133658239,160.99444565674216,9449987.788563527,0,23,7,2021
1665,2021-05-06,목,1,974,30,27916.8027696419,160.62306288490646,4484082.366813722,0,23,7,2021
1891,2021-06-11,금,24,974,20,36880.27146785057,200.92289132700188,7410090.776245269,0,23,7,2021
3132,2021-03-02,화,7,974,20,58527.23635877979,260.0700428794431,15221180.86944316,0,23,7,2021
9526,2021-05-16,일,18,974,30,66214.94019992878,179.5060113090445,11885979.804356122,0,23,7,2021
9683,2020-09-27,일,3,974,20,58165.38194258063,164.78494248813993,9584779.118208842,0,23,7,2020
5,2021-01-14,목,16,26,30,54091.385328213575,162.94665193526447,8814010.137772689,1,28,3,2021
59,2020-03-25,수,22,26,20,51458.97723274409,179.54302651960265,9239100.5139702,1,28,3,2020
3015,2020-07-13,월,4,26,20,34746.35937258056,138.32629426116972,4806335.131075932,1,28,3,2020
6051,2021-09-13,월,22,26,10,45515.25255637104,179.36191419677732,8163702.823660472,1,28,3,2021
6104,2020-02-16,일,23,26,30,49194.489954276985,193.6656054859559,9527280.683567828,1,28,3,2020
6137,2020-10-09,금,1,26,10,70738.03115913662,183.23350615719647,12961577.467945617,1,28,3,2020
6252,2020-08-30,일,9,26,10,60610.34867972661,193.9567551419612,11755786.557942623,1,28,3,2020
6327,2020-02-25,화,22,26,20,30707.825754638518,192.92731626980415,5924378.411323183,1,28,3,2020
7615,2021-02-05,금,12,26,30,60333.07285543505,97.50220945455258,5882607.906587409,1,28,3,2021
8575,2020-12-11,금,8,26,30,50266.96076512508,201.715220563006,10139611.077769171,1,28,3,2020
9063,2021-02-10,수,16,26,30,46124.50286671794,145.13081722567736,6694086.795174873,1,28,3,2021
9418,2021-11-27,토,3,26,30,64415.241916113664,126.75119635276032,8164708.97621988,1,28,3,2021
9964,2021-05-01,토,1,26,20,70367.2379017765,126.37857758258684,8892911.434442008,1,28,3,2021
6,2020-09-24,목,18,988,20,68951.79167563873,192.9184039239551,13302069.597761275,1,61,4,2020
550,2020-02-19,수,22,988,30,43820.83299259476,164.53214466555482,7209935.633302719,1,61,4,2020
1182,2021-06-13,일,9,988,20,51343.8802657878,101.3928546188391,5205902.587356104,1,61,4,2021
1615,2021-12-23,목,20,988,20,60434.98022813875,194.8434899881207,11775362.465013623,1,61,4,2021
2883,2020-12-13,일,5,988,20,69580.1020787172,111.87835824527367,7784507.587105434,1,61,4,2020
3724,2021-11-09,화,14,988,30,48931.39214418606,180.21087600417653,8817969.042407652,1,61,4,2021
4126,2021-01-29,금,9,988,30,53097.63316320842,184.48006728851132,9795454.93880938,1,61,4,2021
6027,2021-07-09,금,8,988,20,40029.29017512476,212.4752895423965,8505235.02013624,1,61,4,2021
6647,2021-01-25,월,19,988,10,38753.62582472255,251.24453885955788,9736636.84946827,1,61,4,2021
7865,2020-03-27,금,12,988,10,67266.1586349688,115.1202116635816,7743694.419853665,1,61,4,2020
9252,2020-05-01,금,5,988,20,74983.79627765919,171.8914060599957,12889070.173883108,1,61,4,2020
9358,2020-10-22,목,21,988,10,54710.79807977128,162.206253377853,8874433.575831933,1,61,4,2020
7,2021-11-25,목,7,60,10,69977.36864040198,192.92740611246984,13500552.218368843,1,29,5,2021
463,2021-11-15,월,5,60,30,60866.09765959588,183.4923423126749,11168462.82699127,1,29,5,2021
1169,2021-01-22,금,2,60,20,46575.913195443325,158.90905906064052,7401334.540777969,1,29,5,2021
2750,2021-11-29,월,4,60,20,60862.685074703215,155.0864229243692,9438976.117808117,1,29,5,2021
3748,2021-11-10,수,16,60,10,77564.26923244272,125.8594510539271,9762196.34699425,1,29,5,2021
4827,2020-04-02,목,19,60,20,55224.40547455198,216.90053138358115,11978202.89277267,1,29,5,2020
6263,2020-04-05,일,8,60,20,77941.93800030297,194.02867070644567,15122970.622482993,1,29,5,2020
7496,2020-09-14,월,4,60,30,18547.506443748734,213.86800762665845,3966718.249567152,1,29,5,2020
7820,2020-10-16,금,19,60,30,67399.25398726642,160.73264340176365,10833260.25668019,1,29,5,2020
8,2020-08-14,금,19,496,10,56968.502111666814,145.7442745120147,8302833.010301057,0,44,3,2020
388,2020-08-28,금,23,496,20,51488.73336538288,127.50935974962889,6565295.425739326,0,44,3,2020
1962,2021-10-12,화,7,496,20,57035.409858749525,189.68986623589328,10819039.266815543,0,44,3,2021
2728,2021-04-09,금,19,496,20,27520.799216656036,129.17597068558777,3555025.9528547064,0,44,3,2021
2757,2020-11-21,토,4,496,30,52614.84400554143,254.14229068028047,13371656.979353923,0,44,3,2020
5508,2020-11-02,월,15,496,30,60801.89044395401,117.58772249977169,7149555.820985183,0,44,3,2020
5839,2020-12-13,일,17,496,10,76710.58877989228,186.00128295417392,14268267.929230023,0,44,3,2020
7529,2020-09-30,수,16,496,30,48376.45242253795,241.95011938404565,11704688.43900966,0,44,3,2020
7751,2021-10-03,일,14,496,10,44256.93725724693,200.08068745338647,8854958.431011358,0,44,3,2021
8654,2021-11-24,수,16,496,30,48610.845228782935,181.7619940700148,8835604.16221245,0,44,3,2021
8750,2021-06-30,수,7,496,10,68726.41470367023,132.2611118763723,9089832.023984088,0,44,3,2021
9,2020-01-15,수,11,92,20,60399.31960231575,114.38070518377069,6908516.76873282,0,74,4,2020
567,2021-02-28,일,15,92,30,48213.360225294615,207.4771247162088,10003169.35245095,0,74,4,2021
751,2021-12-26,일,15,92,20,63018.397984671465,239.32366846832687,15081794.186688593,0,74,4,2021
2606,2020-06-24,수,8,92,30,57110.87767903,155.17520932876073,8862192.398792729,0,74,4,2020
2852,2020-04-16,목,17,92,30,69482.15953228815,124.8812226370708,8677017.033856148,0,74,4,2020
3438,2020-12-23,수,9,92,20,45767.78481237018,67.81127036672123,3103571.6299975524,0,74,4,2020
4673,2021-03-07,일,2,92,10,51081.99885162744,131.72977755766834,6729020.345925952,0,74,4,2021
5420,2021-10-18,월,2,92,10,50167.23348353385,169.2443822229342,8490522.438754385,0,74,4,2021
6224,2020-05-18,월,10,92,20,34959.37369654884,243.34618686395407,8507230.284207176,0,74,4,2020
6444,2021-01-03,일,18,92,30,59936.14807012568,203.28412793539368,12184067.592242127,0,74,4,2021
7972,2020-02-21,금,1,92,20,59438.42518820548,187.360868104153,11136434.942005934,0,74,4,2020
10,2021-10-02,토,20,53,30,55805.51258910279,156.85084026018183,8753141.54075093,1,19,2,2021
1291,2020-03-06,금,6,53,20,52403.13267060929,148.93152638524666,7804478.536002428,1,19,2,2020
2207,2021-12-25,토,11,53,30,35642.74656581116,234.97564679040187,8375177.427687853,1,19,2,2021
4192,2021-07-03,토,6,53,30,49762.16859452579,182.84640007499104,9098833.387433818,1,19,2,2021
4707,2020-10-19,월,8,53,20,50868.34113318624,83.19461435969333,4231972.023692755,1,19,2,2020
6033,2020-04-27,월,8,53,20,44345.17370609858,145.0215840533747,6431007.335980478,1,19,2,2020
7285,2021-05-29,토,16,53,30,53443.59437828332,137.03173558840584,7323468.493738933,1,19,2,2021
7520,2021-04-09,금,16,53,10,61468.14612280323,150.52804376045265,9252679.789447222,1,19,2,2021
9950,2020-10-17,토,1,53,10,82506.00218806353,198.51543307502627,16378714.755652497,1,19,2,2020
11,2020-08-08,토,4,128,30,58210.93896855733,169.5131368068196,9867518.861030484,0,74,10,2020
2095,2021-05-31,월,15,128,20,59388.67588101544,170.8361287594957,10145731.47966511,0,74,10,2021
2276,2021-08-06,금,5,128,10,54676.2237083738,230.98780729520757,12629541.025579505,0,74,10,2021
4588,2020-06-17,수,12,128,10,28497.33377806858,144.0299096256372,4104468.408626836,0,74,10,2020
5108,2020-02-06,목,8,128,10,55356.58503503901,254.81446074271872,14105658.364261918,0,74,10,2020
6341,2020-06-19,금,4,128,20,56587.85582230812,145.11815186044942,8211925.054678926,0,74,10,2020
8067,2020-12-28,월,18,128,30,90696.90595237614,178.02071295269096,16145927.86024516,0,74,10,2020
8245,2020-09-07,월,14,128,10,53002.50319384695,161.99563098352874,8586173.948593734,0,74,10,2020
8549,2020-03-25,수,8,128,20,60013.18141362461,179.50124930677873,10772441.03861997,0,74,10,2020
12,2021-02-27,토,14,304,20,55240.22173869256,193.3964883253612,10683264.898577418,0,66,6,2021
529,2020-01-01,수,23,304,30,39144.37459072688,192.93110753061137,7552167.543382058,0,66,6,2020
655,2020-06-23,화,6,304,10,71954.49024503343,141.5787311405447,10187225.428756537,0,66,6,2020
4060,2021-10-23,토,4,304,30,66406.08694765717,125.5797999187545,8339263.112274202,0,66,6,2021
6926,2021-04-09,금,24,304,20,66961.06831433176,282.45898931594024,18913755.67958178,0,66,6,2021
7907,2020-07-07,화,13,304,10,42824.82056707074,153.2225145527025,6561726.692554872,0,66,6,2020
8476,2021-09-21,화,5,304,10,75644.60130708301,204.412400147751,15462694.51140054,0,66,6,2021
9353,2021-04-14,수,14,304,30,35834.64882691518,104.60856221115924,3748611.091125401,0,66,6,2021
13,2020-04-24,금,20,355,30,64062.95104026267,162.06445870199337,10382327.483192474,0,10,6,2020
356,2020-05-25,월,19,355,10,86824.89518998175,168.65847701939424,14643754.59011085,0,10,6,2020
4545,2021-08-15,일,21,355,30,41672.96989027772,194.6175328713597,8110290.587468308,0,10,6,2021
4864,2021-01-10,일,6,355,10,47694.7359525475,56.377243212045045,2688897.728731039,0,10,6,2021
5215,2020-06-24,수,17,355,20,57147.41116852069,181.34955357211797,10363657.503213491,0,10,6,2020
5994,2021-01-02,토,9,355,20,48586.450770846015,124.4191648343436,6045085.627173611,0,10,6,2021
6082,2020-06-08,월,17,355,10,33722.3627728791,188.19414698367677,6346351.296316079,0,10,6,2020
7837,2020-05-18,월,20,355,20,56706.133511320586,129.32583855575874,7333568.267606346,0,10,6,2020
14,2020-04-29,수,3,9,30,40654.28269496532,137.14999076947234,5575734.496354013,1,25,9,2020
284,2020-05-19,화,18,9,10,62455.23945557479,162.32339878431014,10137946.740316847,1,25,9,2020
1341,2020-08-09,일,6,9,20,42682.35559939039,128.633601941045,5490385.140078117,1,25,9,2020
1651,2020-09-22,화,4,9,10,77733.15061466362,153.5880911474017,11938886.22177966,1,25,9,2020
1977,2020-10-04,일,5,9,20,44615.20556926569,122.5313676897896,5466762.158163243,1,25,9,2020
2985,2020-12-16,수,8,9,10,51161.4958289839,94.85125797645678,4852732.23933637,1,25,9,2020
3462,2020-09-16,수,6,9,30,67280.23078370899,218.20258332936837,14680720.164001394,1,25,9,2020
7121,2020-03-15,일,19,9,10,38261.68445538558,118.08932107155329,4518296.340390487,1,25,9,2020
7307,2021-04-09,금,3,9,20,58961.56319168567,166.4311786280818,9813042.45574637,1,25,9,2021
7739,2021-10-17,일,2,9,10,74286.8952809644,206.73475568100145,15357683.146210313,1,25,9,2021
8030,2021-05-17,월,4,9,20,32915.8459496612,147.55666470903904,4856952.444408538,1,25,9,2021
8099,2020-09-20,일,17,9,10,58353.67740715777,138.46161818138145,8079744.600629384,1,25,9,2020
8157,2020-03-28,토,18,9,30,59421.78269529964,183.9496138126878,10930613.978861824,1,25,9,2020
8784,2021-09-25,토,17,9,10,66830.35202051816,222.52798340455988,14871623.465342758,1,25,9,2021
9667,2020-12-16,수,11,9,30,38175.29240173563,123.57232253511418,4717409.545539569,1,25,9,2020
15,2020-05-05,화,14,863,20,36989.98532876944,167.66563419640207,6201949.349063736,1,21,5,2020
2262,2021-12-22,수,8,863,10,63141.52114527041,99.20690336266892,6264074.786430758,1,21,5,2021
3583,2020-03-25,수,18,863,30,59948.41756084944,157.15016941530513,9420903.975866942,1,21,5,2020
4359,2020-01-21,화,2,863,10,59288.49909942922,175.6414708492148,10413519.186266096,1,21,5,2020
4993,2020-05-15,금,13,863,30,60650.51738659134,137.18711366874794,8320469.422782679,1,21,5,2020
5263,2020-02-10,월,20,863,10,46080.46193820137,154.3903196954614,7114377.25035345,1,21,5,2020
7660,2021-03-28,일,15,863,10,59029.60725222109,113.23604310822242,6684279.151473946,1,21,5,2021
9239,2021-05-01,토,7,863,30,59892.88665667723,177.49637060082614,10630770.006366856,1,21,5,2021
16,2021-07-27,화,22,766,30,45593.218821053015,219.83524731613795,10022996.535464983,1,52,9,2021
1512,2020-06-15,월,4,766,30,82216.27697852932,126.6947494528541,10416370.612741228,1,52,9,2020
1938,2021-01-03,일,14,766,20,62458.65304453448,147.22233465912566,9195308.720880674,1,52,9,2021
3631,2021-02-27,토,14,766,10,38823.22223425322,195.9038240047856,7605617.695877821,1,52,9,2021
3926,2020-07-22,수,11,766,10,65052.243650853525,226.60159216788813,14740941.9853768,1,52,9,2020
4468,2021-05-03,월,3,766,20,41898.01547507956,109.56019765547045,4590354.856821676,1,52,9,2021
4683,2021-11-24,수,12,766,30,66905.03857499588,166.8593261733289,11163729.65422439,1,52,9,2021
6239,2020-03-21,토,11,766,10,72178.37345351478,186.41102393509595,13454844.50143944,1,52,9,2020
6363,2020-10-02,금,10,766,10,44083.927083574585,169.74626476266943,7483081.958506666,1,52,9,2020
7563,2021-07-16,금,18,766,10,69407.37178211934,67.0055796814374,4650681.180425948,1,52,9,2021
8585,2020-04-17,금,9,766,10,61592.06327823373,195.8408212868593,12062240.257161502,1,52,9,2020
17,2020-03-16,월,10,707,30,67401.4917969981,239.89428280785097,16169232.53482011,0,63,6,2020
79,2021-05-13,목,9,707,20,82656.56218832993,179.20889757389594,14812791.38701878,0,63,6,2021
1384,2021-11-30,화,10,707,20,52249.82038051495,129.55181290370203,6769058.95418851,0,63,6,2021
1681,2021-02-20,토,2,707,20,45034.180272161146,151.96167435220727,6843469.437236749,0,63,6,2021
4301,2020-07-09,목,6,707,10,43106.90406861944,250.7352466181733,10808420.222591234,0,63,6,2020
4680,2021-06-07,월,13,707,10,44153.08214303633,213.5303032880288,9428021.021103796,0,63,6,2021
5517,2021-12-04,토,15,707,10,54638.526600599725,201.85178180851105,11028883.949722782,0,63,6,2021
6255,2020-09-19,토,9,707,10,60575.34109053522,189.58148977955904,11483963.407848608,0,63,6,2020
6705,2021-08-17,화,13,707,10,59660.36040992002,145.55816798898974,8684052.76283081,0,63,6,2021
7348,2020-06-07,일,24,707,10,67474.2104134783,165.4841158762763,11165910.054724293,0,63,6,2020
8045,2021-08-02,월,5,707,30,55917.48333407028,170.79038443792885,9550168.475427344,0,63,6,2021
9576,2020-10-31,토,7,707,20,76364.81631217517,197.93844880035005,15115533.28375562,0,63,6,2020
18,2020-10-04,일,12,823,30,51976.31460161399,239.44358142597497,12445394.917533653,1,77,6,2020
94,2021-12-15,수,13,823,10,94343.80331436454,222.54547566887453,20995786.585006,1,77,6,2021
665,2021-10-31,일,18,823,20,64613.835077350566,112.75332067561776,7285424.466557989,1,77,6,2021
1209,2020-07-12,일,24,823,20,43566.18694157471,183.8525673650257,8009755.319513166,1,77,6,2020
1237,2021-10-23,토,6,823,20,40532.37099110362,206.03700447630771,8351168.303329383,1,77,6,2021
1472,2020-05-15,금,9,823,30,62581.28454083963,200.9360424375472,12574835.646294368,1,77,6,2020
1971,2021-01-08,금,6,823,30,52561.0349035845,146.93843609429774,7723236.268230504,1,77,6,2021
